Hanging	Foot	Nlon	Nlat	Ndepth	Nphi	Re	Rn	Strike	Dip	Mo Rate
NoCR	JdFa	234.737	43.247	5.25	0.288	-30.7	-15.9	356.2	9.7	4.28E+15
NoCR	JdFa	234.715	43.497	5.25	0.551	-30.9	-15.9	356.2	9.8	8.13E+15
NoCR	JdFa	234.692	43.747	5.25	0.551	-31.1	-15.9	356.2	9.9	8.07E+15
NoCR	JdFa	234.669	43.997	5.25	0.643	-31.3	-15.9	357.1	9.9	9.38E+15
NoCR	JdFa	234.651	44.248	5.25	0.643	-31.5	-16	357.1	9.8	9.44E+15
NoCR	JdFa	234.634	44.498	5.25	0.653	-31.7	-16	357.1	9.7	9.69E+15
NoCR	JdFa	234.616	44.748	5.25	0.653	-31.9	-16	357.1	9.7	9.77E+15
NoCR	JdFa	234.598	44.998	5.25	0.557	-32.2	-16	356.7	9.6	8.45E+15
NoCR	JdFa	234.578	45.246	5.25	0.557	-32.4	-16	356.7	9.1	8.79E+15
NoCR	JdFa	234.557	45.494	5.25	0.481	-32.6	-16.1	356.7	8.6	7.97E+15
NoCR	JdFa	234.537	45.742	5.25	0.481	-32.8	-16.1	356.7	8.2	8.35E+15
NoCR	JdFa	234.517	45.99	5.25	0.171	-33	-16.1	349.7	7.9	2.44E+15
NoCR	JdFa	234.48	46.134	5.25	0.171	-33.1	-16.1	349.8	7.6	1.87E+15
NoCR	JdFa	234.442	46.277	5.25	0.133	-33.2	-16.2	349.8	7.4	1.51E+15
NoCR	JdFa	234.405	46.421	5.25	0.133	-33.3	-16.2	349.8	7.1	1.57E+15
NoCR	JdFa	234.367	46.565	5.25	0.119	-33.4	-16.2	349.9	6.8	1.46E+15
NoCR	JdFa	234.33	46.708	5.25	0.119	-33.5	-16.3	349.9	6.6	1.51E+15
NoCR	JdFa	234.293	46.852	5.25	0.126	-33.6	-16.3	349.9	6.4	1.64E+15
